Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Deposit fee (EUR),Notes,ID,Currency conversion fee (EUR)
Market buy,2022-04-13 15:47:12,US00123Q1040,AGNC,"AGNC Investment",25.0000000000,12.51,USD,1.08637,,288.31,,,,,,EOF1872721534,0.43
Deposit,2022-04-16 07:37:34,,,,,,,,,2000.00,,,2014.00,14.00,"Transaction ID: JMQGWH7X2L4Z2C32",dcc37f46-a9a5-472f-8f24-d529a7e79f9f,
Market buy,2022-04-18 13:30:02,US03676B1026,AM,"Antero Midstream",69.0195840000,11.36,USD,1.08019,,726.95,,,,,,EOF1875710134,1.09
Market buy,2022-04-18 13:30:06,US00123Q1040,AGNC,"AGNC Investment",11.3607710000,12.45,USD,1.08019,,131.14,,,,,,EOF1875711160,0.20
Market buy,2022-04-18 13:31:45,US00123Q1040,AGNC,"AGNC Investment",61.0152710000,12.44,USD,1.08054,,703.50,,,,,,EOF1875720370,1.05
Market buy,2022-04-18 13:32:01,US00123Q1040,AGNC,"AGNC Investment",33.9847290000,12.44,USD,1.08059,,391.83,,,,,,EOF1875720485,0.59
Market sell,2022-04-18 15:03:10,US88160R1014,TSLA,"Tesla",3.0000000000,1005.95,USD,1.07953,52.42,2791.33,,,,,,EOF1875744369,4.19
Market buy,2022-04-18 16:21:12,US88160R1014,TSLA,"Tesla",2.9580000000,987.97,USD,1.07735,,2716.64,,,,,,EOF1875750942,4.07
Market sell,2022-04-18 18:04:40,US88160R1014,TSLA,"Tesla",2.9580000000,1007.67,USD,1.07851,51.11,2759.53,,,,,,EOF1876957134,4.15
Market sell,2022-04-19 15:21:20,US4781601046,JNJ,"Johnson & Johnson",3.1982000000,184.58,USD,1.07942,16.05,546.07,,,,,,EOF1878278136,0.82
Market sell,2022-04-19 15:21:39,US4781601046,JNJ,"Johnson & Johnson",3.9665000000,184.58,USD,1.07944,19.90,677.24,,,,,,EOF1878278167,1.02
Market sell,2022-04-19 15:21:59,US4781601046,JNJ,"Johnson & Johnson",1.8353000000,184.56,USD,1.07934,9.20,313.35,,,,,,EOF1878278205,0.47
Market buy,2022-04-19 17:24:17,US88160R1014,TSLA,"Tesla",4.4450000000,1024.21,USD,1.07993,,4221.98,,,,,,EOF1878289801,6.32
Market sell,2022-04-19 19:59:52,US88160R1014,TSLA,"Tesla",4.4450000000,1028.50,USD,1.07888,21.73,4231.03,,,,,,EOF1878300264,6.36
Market buy,2022-04-20 13:36:35,US88160R1014,TSLA,"Tesla",4.4500000000,1023.70,USD,1.08397,,4208.87,,,,,,EOF1878933650,6.30
Market sell,2022-04-20 14:39:36,US4592001014,IBM,"IBM Corporation",3.0000000000,137.02,USD,1.08471,26.24,378.39,,,,,,EOF1879705775,0.57
Market buy,2022-04-20 14:41:10,US0231351067,AMZN,"Amazon",0.2000000000,3100.00,USD,1.08446,,572.57,,,,,,EOF1879706190,0.86
Deposit,2022-04-21 06:04:03,,,,,,,,,1.00,,,1.00,,"Bank Transfer",4cdba08d-1c91-4401-8dd0-8c214462423c,
Market sell,2022-04-21 13:34:17,US88160R1014,TSLA,"Tesla",4.4500000000,1067.49,USD,1.08934,158.17,4354.20,,,,,,EOF1880620274,6.54
Market buy,2022-04-21 13:45:07,US03676B1026,AM,"Antero Midstream",83.5595260000,11.35,USD,1.08835,,872.71,,,,,,EOF1880624142,1.31
Market buy,2022-04-21 13:45:42,US03676B1026,AM,"Antero Midstream",87.0000000000,11.35,USD,1.08823,,908.74,,,,,,EOF1880625321,1.36
Market buy,2022-04-21 13:45:58,US03676B1026,AM,"Antero Midstream",29.4404740000,11.36,USD,1.08815,,307.81,,,,,,EOF1880625390,0.46
Market buy,2022-04-21 14:21:25,US88160R1014,TSLA,"Tesla",2.2000000000,1055.46,USD,1.08742,,2138.54,,,,,,EOF1880634843,3.20
Deposit,2022-04-26 06:40:14,,,,,,,,,2000.00,,,2000.00,,"Bank Transfer",4e9ecb4e-a46a-419c-b24a-27a13f0074b7,
Market buy,2022-04-26 13:30:57,US90184L1026,TWTR,"Twitter",40.0000000000,51.49,USD,1.06792,,1931.50,,,,,,EOF1886021061,2.89
Market buy,2022-04-26 14:33:09,US55336V1008,MPLX,"MPLX LP",7.0000000000,32.54,USD,1.06722,,213.75,,,,,,EOF1886036597,0.32
Market sell,2022-04-26 14:35:51,US1912161007,KO,"Coca-Cola",8.3120000000,65.80,USD,1.06687,24.14,511.87,,,,,,EOF1886036918,0.77
